sentence,mysql_sql_command,pg_sql_command
,SELECT companies.* FROM companies LIMIT 100;,SELECT companies.* FROM companies LIMIT 100;
show companies which opened year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company which opened year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show companies opened year 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company opened year 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company which was opened in 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show companies where founded year is after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies where founded year after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies which founded year is after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies which founded year after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show company which founded year is after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies founded year after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show company founded year after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies after 2015,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) > '2015' LIMIT 100;
show companies where founded year is before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies where founded year before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies which founded year is before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies which founded year before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show company which founded year is before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies founded year before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show company founded year before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies before 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies founded earlier 1850,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) < '1850' LIMIT 100;
show companies where raised is 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies which raised 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show company which raised 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies raised 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show company raised 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies where funding is 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies which funding 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show company which funding 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies funding 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show company funding 103200000,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised = '103200000' LIMIT 100;
show companies where raised is more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised is more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies who raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies whose raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company which raised is more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company raised more 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised is > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised is > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies who raised > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company which raised is > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies raised > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company raised > 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised is greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised is greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies who raised greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company which raised is greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies raised greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company raised greater 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised is greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised is greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies who raised greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company which raised is greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies raised greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company raised greater than 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised is bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised is bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies which raised bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies who raised bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company which raised is bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies raised bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show company raised bigger 103200000,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '103200000' LIMIT 100;
show companies where raised is smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies where raised smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised is smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies who raised smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company which raised is smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies raised smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company raised smaller 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies where raised is less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies where raised less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised is less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies who raised less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company which raised is less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies raised less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company raised less 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies where raised is < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies where raised < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised is < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies which raised < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies who raised < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company which raised is < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show companies raised < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company raised < 100000,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised < '100000' LIMIT 100;
show company raised more 1696100K,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696100k,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696.1M,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696.1KK,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696.1kk,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1.6961B,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1.6961b,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696100 K,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
show company raised more 1696100 k,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;,SELECT companies.* FROM companies WHERE companies.raised > '1696100000' LIMIT 100;
